File,X,Y,Z,6
000188.asc,-1,-8,0
000189.asc,0,-8,0
000190.asc,1,-8,0
000191.asc,2,-8,0
000192.asc,3,-8,0
000193.asc,4,-8,0
000194.asc,5,-8,0
000195.asc,6,-8,0
000196.asc,7,-8,0
000197.asc,8,-8,0
000198.asc,9,-8,0
000199.asc,10,-8,0
000200.asc,11,-8,0
000201.asc,12,-8,0
000202.asc,13,-8,0
000203.asc,14,-8,0
000204.asc,-14,-7,0
000205.asc,-13,-7,0
000206.asc,-12,-7,0
000207.asc,-11,-7,0
000208.asc,-10,-7,0
000209.asc,-9,-7,0
000210.asc,-8,-7,0
000211.asc,-7,-7,0
000212.asc,-6,-7,0
000213.asc,-5,-7,0
000214.asc,-4,-7,0
000215.asc,-3,-7,0
000216.asc,-2,-7,0
000217.asc,-1,-7,0
000218.asc,0,-7,0
000219.asc,1,-7,0
000220.asc,2,-7,0
000221.asc,3,-7,0
000222.asc,4,-7,0
000223.asc,5,-7,0
000224.asc,6,-7,0
000225.asc,7,-7,0
000226.asc,8,-7,0
000227.asc,9,-7,0
000228.asc,10,-7,0
000229.asc,11,-7,0
000230.asc,12,-7,0
000231.asc,13,-7,0
000232.asc,14,-7,0
000233.asc,-14,-6,0
000234.asc,-13,-6,0
000235.asc,-12,-6,0
000236.asc,-11,-6,0
000237.asc,-10,-6,0
000238.asc,-9,-6,0
000239.asc,-8,-6,0
000240.asc,-7,-6,0
000241.asc,-6,-6,0
000242.asc,-5,-6,0
000243.asc,-4,-6,0
000244.asc,-3,-6,0
000245.asc,-2,-6,0
000246.asc,-1,-6,0
000247.asc,0,-6,0
000248.asc,1,-6,0
000249.asc,2,-6,0
000250.asc,3,-6,0
000251.asc,4,-6,0
000252.asc,5,-6,0
000253.asc,6,-6,0
000254.asc,7,-6,0
000255.asc,8,-6,0
000256.asc,9,-6,0
000257.asc,10,-6,0
000258.asc,11,-6,0
000259.asc,12,-6,0
000260.asc,13,-6,0
000261.asc,14,-6,0
000262.asc,-14,-5,0
000263.asc,-13,-5,0
000264.asc,-12,-5,0
000265.asc,-11,-5,0
000266.asc,-10,-5,0
000267.asc,-9,-5,0
000268.asc,-8,-5,0
000269.asc,-7,-5,0
000270.asc,-6,-5,0
000271.asc,-5,-5,0
000272.asc,-4,-5,0
000273.asc,-3,-5,0
000274.asc,-2,-5,0
000275.asc,-1,-5,0
000276.asc,0,-5,0
000277.asc,1,-5,0
000278.asc,2,-5,0
000279.asc,3,-5,0
000280.asc,4,-5,0
000281.asc,5,-5,0
000282.asc,6,-5,0
000283.asc,7,-5,0
000284.asc,8,-5,0
000285.asc,9,-5,0
000286.asc,10,-5,0
